pm2_5,city,co,pm10,level,o3,source,so2,utc_time,date,aqi,no2
3,安阳,1.2,62,重度污染,168,tqspiders,32,2017-11-16 13:12:18.124000,2013-08-01,216,29
3,安阳,1.5,106,重度污染,225,tqspiders,38,2017-11-16 13:12:18.238000,2013-08-02,216,33
3,安阳,1.3,90,中度污染,160,tqspiders,21,2017-11-16 13:12:18.241000,2013-08-03,182,30
3,安阳,1.4,113,中度污染,206,tqspiders,10,2017-11-16 13:12:18.242000,2013-08-04,182,30
3,安阳,1.4,97,中度污染,190,tqspiders,20,2017-11-16 13:12:18.246000,2013-08-05,182,31
0,安阳,1.3,89,中度污染,180,tqspiders,6,2017-11-16 13:12:18.249000,2013-08-06,182,27
0,安阳,1.3,74,中度污染,162,tqspiders,20,2017-11-16 13:12:18.252000,2013-08-07,182,37
0,安阳,1.9,98,重度污染,179,tqspiders,76,2017-11-16 13:12:18.254000,2013-08-08,257,52
0,安阳,1.9,126,重度污染,230,tqspiders,62,2017-11-16 13:12:18.257000,2013-08-09,257,50
0,安阳,2.3,146,重度污染,219,tqspiders,64,2017-11-16 13:12:18.260000,2013-08-10,257,39
0,安阳,1.7,109,重度污染,205,tqspiders,23,2017-11-16 13:12:18.262000,2013-08-11,257,41
0,安阳,1.8,66,重度污染,454,tqspiders,42,2017-11-16 13:12:18.265000,2013-08-12,257,32
0,安阳,2,98,轻度污染,196,tqspiders,10,2017-11-16 13:12:18.267000,2013-08-13,133,28
0,安阳,2.1,100,轻度污染,198,tqspiders,15,2017-11-16 13:12:18.270000,2013-08-14,135,28
0,安阳,2.1,106,轻度污染,203,tqspiders,18,2017-11-16 13:12:18.272000,2013-08-15,140,28
0,安阳,2.1,129,重度污染,267,tqspiders,44,2017-11-16 13:12:18.275000,2013-08-16,201,37
0,安阳,2.2,132,轻度污染,190,tqspiders,70,2017-11-16 13:12:18.277000,2013-08-17,128,54
0,安阳,2.7,99,轻度污染,178,tqspiders,103,2017-11-16 13:12:18.283000,2013-08-18,117,49
0,安阳,2.3,82,中度污染,225,tqspiders,89,2017-11-16 13:12:18.286000,2013-08-19,160,41
0,安阳,4,143,重度污染,356,tqspiders,79,2017-11-16 13:12:18.288000,2013-08-20,218,39
0,安阳,2.9,142,重度污染,376,tqspiders,58,2017-11-16 13:12:18.291000,2013-08-21,221,40
0,安阳,2.7,196,重度污染,472,tqspiders,95,2017-11-16 13:12:18.293000,2013-08-22,300,39
0,安阳,3.4,168,重度污染,322,tqspiders,127,2017-11-16 13:12:18.296000,2013-08-23,211,57
0,安阳,3.6,89,中度污染,251,tqspiders,163,2017-11-16 13:12:18.298000,2013-08-24,186,56
0,安阳,3.4,128,轻度污染,144,tqspiders,164,2017-11-16 13:12:18.301000,2013-08-25,121,87
0,安阳,4.1,136,中度污染,231,tqspiders,111,2017-11-16 13:12:18.303000,2013-08-26,166,60
0,安阳,1.8,64,良,159,tqspiders,38,2017-11-16 13:12:18.306000,2013-08-27,100,28
0,安阳,0,0,良,126,tqspiders,0,2017-11-16 13:12:18.314000,2013-08-28,72,0
0,安阳,0,0,良,147,tqspiders,0,2017-11-16 13:12:18.318000,2013-08-29,90,0
0,安阳,2.5,62,良,124,tqspiders,87,2017-11-16 13:12:18.322000,2013-08-30,70,37
0,安阳,3.6,96,良,157,tqspiders,68,2017-11-16 13:12:18.326000,2013-08-31,98,42
